XEC,Cimarex Energy,Energy,https://en.wikipedia.org/wiki/Cimarex_Energy
CINF,Cincinnati Financial,Financials,https://en.wikipedia.org/wiki/Cincinnati_Financial
CTAS,Cintas Corporation,Industrials,https://en.wikipedia.org/wiki/Cintas_Corporation
CSCO,Cisco Systems,IT,https://en.wikipedia.org/wiki/Cisco_Systems
C,Citigroup Inc.,Financials,https://en.wikipedia.org/wiki/Citigroup_Inc.
CFG,Citizens Financial Group,Financials,https://en.wikipedia.org/wiki/Citizens_Financial_Group
CTXS,Citrix Systems,IT,https://en.wikipedia.org/wiki/Citrix_Systems
CLX,The Clorox Company,Consumer,https://en.wikipedia.org/wiki/The_Clorox_Company
CME,CME Group Inc.,Financials,https://en.wikipedia.org/wiki/CME_Group_Inc.
CMS,CMS Energy,Utilities,https://en.wikipedia.org/wiki/CMS_Energy
COH,Coach Inc.,Consumer,https://en.wikipedia.org/wiki/Coach_Inc.
KO,Coca-Cola Company,Consumer,https://en.wikipedia.org/wiki/Coca-Cola_Company
CTSH,Cognizant Technology Solutions,IT,https://en.wikipedia.org/wiki/Cognizant_Technology_Solutions
CL,Colgate-Palmolive,Consumer,https://en.wikipedia.org/wiki/Colgate-Palmolive
CMCSA,Comcast Corp.,Consumer,https://en.wikipedia.org/wiki/Comcast_Corp.
CMA,Comerica Inc.,Financials,https://en.wikipedia.org/wiki/Comerica_Inc.
CAG,Conagra Brands,Consumer,https://en.wikipedia.org/wiki/Conagra_Brands
CXO,Concho Resources,Energy,https://en.wikipedia.org/wiki/Concho_Resources
COP,ConocoPhillips,Energy,https://en.wikipedia.org/wiki/ConocoPhillips
ED,Consolidated Edison,Utilities,https://en.wikipedia.org/wiki/Consolidated_Edison
STZ,Constellation Brands,Consumer,https://en.wikipedia.org/wiki/Constellation_Brands
COO,The Cooper Companies,Health Care,https://en.wikipedia.org/wiki/The_Cooper_Companies
GLW,Corning Inc.,IT,https://en.wikipedia.org/wiki/Corning_Inc.
